workerid,proliferate.condition,attention,choice,item,polarity,response,trial_id,trial_no,type,voice,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.otherRegion,subject_information.price,subject_information.region,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1021,pilot,,True,,,,example,,,,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persoonallinen,positive,persoonallinen suhde,,0,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,1,predicative,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,positive,persikan,,2,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,positive,kappalainen,,3,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,positive,kappalainen,,4,predicative,passve,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio valtiossa,positive,valtio valtiossa,,5,predicative,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin,positive,jokin maininta,,6,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,positive, kappalainen,,7,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio valtiossa,positive,valtio valtiossa,,8,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,9,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,positive,persikka,,10,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio valtiossa,positive,valtio valtiossa,,11,predicative,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio,positive,valtio valtiossa,,12,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,tulipalo,positive,tulipalo,,13,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,14,predicative,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen,positive,harvinainen erikoistapaus,,15,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,positive,kappalainen,,16,predicative,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,positive,persikka,,17,predicative,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persoonallinen,positive,persoonallinen suhde,,18,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,tulipalo,positive,tulipalo,,19,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,positive,persikka,,20,predicative,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin,positive,jokin maininta,,21,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,negative,kappalaista,,22,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio valtiossa,negative,valtiota valtiossa,,23,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persoonallinen,negative,persoonallinen suhde,,24,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin2,negative,mitään mainintaa,,25,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,valtio,negative,valtiota valtiossa,,26,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,tulipalo,negative,tulipalo,,27,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin,negative,mitään mainintaa,,28,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen,negative,harvinainen erikoistapaus,,29,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,1,,attention,on,on,,30,attention,attention,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persoonallinen,negative,persoonallinen suhde,,31,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,tulipalo,negative,tulipalo,,32,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,1,,attention,olet,olet,,33,attention,attention,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,1,,attention,olen,olen,,34,attention,attention,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,harvinainen erikoistapaus,negative,harvinainen erikoistapaus,,35,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,negative,persikkaa,,36,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin2,positive,jokin maininta,,37,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,kappalainen,negative,kappalaista,,38,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,persikka,negative,persikkaa,,39,existential,active,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1021,pilot,critical,,jokin,negative,mitään mainintaa,,40,existential,passive,26,Yes,,1,1,Other,suomi,,0,Pirkanmaa,Chrome,Windows,864,1536,3.360316666666667,
1022,pilot,,True,,,,example,,,,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
