item,type,voice,sentence,nom,gen,polarity
kappalainen,existential,active,"Olen luullut jokaisessa seurakunnassa olevan ...","kappalainen","kappalaisen",positive
harvinainen,existential,active,"Kirjoittaja arvelee kyseessä olevan ...","harvinainen erikoistapaus","harvinaisen erikoistapauksen",positive
valtio,existential,active,Kirjoittaja väittää TVH:sta tulleen ...,valtio valtiossa,valtion valtiossa,positive
persikka,existential,active,Hän kertoi vadille jääneen ...,persikka,persikan,positive
tulipalo,existential,active,Pelkäsin siellä syttyneen ...,tulipalo,tulipalon,positive
jokin,existential,active,Toivoisi levyissä olevan ... myös levytyshetkestä,jokin maininta,jonkin maininnan,positive
persoonallinen,existential,active,Kirjailijoilla luulisi olevan tyyliin ...,persoonallinen suhde,persoonallisen suhteen,positive
kappalainen,existential,passive,Jokaisessa seurakunnassa luultiin olevan ..., kappalainen,kappalaisen,positive
harvinainen,existential,passive,Yleensä arveltiin kyseessä olevan ...,harvinainen erikoistapaus,harvinaisen erikoistapauksen,positive
valtio,existential,passive,Kirjoituksessa väitettiin TVH:sta tulleen ...,valtio valtiossa,valtion valtiossa,positive
persikka,existential,passive,Vadille kerrottiin jääneen ...,persikka,persikan,positive
tulipalo,existential,passive,Siellä pelättiin syttyneen...,tulipalo,tulipalon,positive
jokin,existential,passive,Levyissä toivottiin olevan ... myös levytyshetkestä,jokin maininta,jonkin maininnan,positive
persoonallinen,existential,passive,Kirjailijoilla luultiin olevan tyyliin ...,persoonallinen suhde,persoonallisen suhteen,positive
kappalainen,predicative,active,Minä ainakin luulin sen miehen olevan ...,kappalainen,kappalaisen,positive
harvinainen,predicative,active,Hän arveli tämän ilmiön olevan ...,harvinainen erikoistapaus,harvinaisen erikoistapauksen,positive
valtio,predicative,active,Kirjoittaja väittää TVH:n olevan ...,valtio valtiossa,valtion valtiossa,positive
persikka,predicative,active,Hän sanoi sen hedelmän olevan ...,persikka,persikan,positive
kappalainen,predicative,passive,Joissakin kylissä luultiin sen miehen olevan ...,kappalainen,kappalaisen,positive
harvinainen,predicative,passive,Yleensä on arveltu tämän ilmiön olevan ...,harvinainen erikoistapaus,harvinaisen erikoistapauksen,positive
valtio,predicative,passive,Kirjoituksessa väitetään TVH:n olevan ...,valtio valtiossa,valtion valtiossa,positive
persikka,predicative,passive,Sen hedelmän sanottiin olevan ...,persikka,persikan,positive
