item,voice,type,itemNomRateOriginal,itemGenRateOriginal
harvinainen,active,existential,0.25,0.75
harvinainen,active,predicative,0.64,0.36
harvinainen,passive,existential,0.52,0.48
harvinainen,passive,predicative,0.84,0.16
jokin,active,existential,0.37,0.63
jokin,passive,existential,0.83,0.17
kappalainen,active,existential,0.09,0.91
kappalainen,active,predicative,0.67,0.33
kappalainen,passive,existential,0.64,0.36
kappalainen,passive,predicative,0.72,0.28
persikka,active,existential,0.02,0.98
persikka,active,predicative,0.7,0.3
persikka,passive,existential,0.46,0.54
persikka,passive,predicative,0.83,0.17
persoonallinen,active,existential,0.84,0.16
persoonallinen,passive,existential,0.93,0.07
tulipalo,active,existential,0.02,0.98
tulipalo,passive,existential,0.34,0.66
valtio,active,existential,0.34,0.66
valtio,active,predicative,0.71,0.29
valtio,passive,existential,0.68,0.32
valtio,passive,predicative,0.8,0.2
